index,Sepal.Width*10,Petal.Length,other,Petal.Width,random
765,591.8,594.7,44,613,9.14
766,592.8,595.7,45,614,8.82
767,593.8,596.7,46,615,8.94
768,594.8,597.7,47,616,9.74
769,595.8,598.7,48,617,9.82
770,596.8,599.7,49,618,6.17
771,597.8,600.7,50,619,5.62
772,598.8,601.7,51,620,6.64
773,599.8,602.7,52,621,6.03
774,600.8,603.7,53,622,5.48
775,601.8,604.7,54,623,8.38
776,602.8,605.7,55,624,7.01
777,603.8,606.7,56,625,5.94
778,604.8,607.7,57,626,8.92
779,605.8,608.7,58,627,7.31
780,606.8,609.7,59,628,8.98
781,607.8,610.7,60,629,7.57
782,608.8,611.7,61,630,6.09
783,609.8,612.7,62,631,9
784,610.8,613.7,63,632,8.05
785,611.8,614.7,64,633,5.95
786,612.8,615.7,65,634,7.26
787,613.8,616.7,66,635,5.75
788,614.8,617.7,67,636,9.29
789,615.8,618.7,68,637,6.7
790,616.8,619.7,69,638,8.86
791,617.8,620.7,70,639,8.12
792,618.8,621.7,71,640,7.73
793,619.8,622.7,72,641,7.58
794,620.8,623.7,73,642,9.82
795,621.8,624.7,74,643,8.16
796,622.8,625.7,75,644,5.3
797,623.8,626.7,76,645,5.56
798,624.8,627.7,77,646,5.21
799,625.8,628.7,78,647,9.72
800,626.8,629.7,79,648,7.12
801,627.8,630.7,80,649,8.1
802,628.8,631.7,81,650,8.47
803,629.8,632.7,82,651,6.68
804,630.8,633.7,83,652,6.06
805,631.8,634.7,84,653,5.67
806,632.8,635.7,85,654,5.63
807,633.8,636.7,86,655,5.14
808,634.8,637.7,87,656,8.07
809,635.8,638.7,88,657,8.76
810,636.8,639.7,89,658,5.22
811,637.8,640.7,90,659,9.3
812,638.8,641.7,91,660,8.14
813,639.8,642.7,92,661,6.1
814,640.8,643.7,93,662,7.6
815,641.8,644.7,94,663,8.58
816,642.8,645.7,95,664,5.88
817,643.8,646.7,96,665,8.16
818,644.8,647.7,97,666,8.14
819,645.8,648.7,98,667,9.54
820,646.8,649.7,99,668,8.68
821,647.8,650.7,100,669,5.67
822,648.8,651.7,101,670,6.67
823,649.8,652.7,102,671,9.26
824,650.8,653.7,103,672,9.66
825,651.8,654.7,104,673,7.99
826,652.8,655.7,105,674,7.39
827,653.8,656.7,106,675,5.77
828,654.8,657.7,107,676,5.95
829,655.8,658.7,108,677,8.08
830,656.8,659.7,109,678,9.16
831,657.8,660.7,110,679,9.67
832,658.8,661.7,111,680,8.62
833,659.8,662.7,112,681,6.08
834,660.8,663.7,113,682,6.97
835,661.8,664.7,114,683,7.1
836,662.8,665.7,115,684,5.75
837,663.8,666.7,116,685,8.38
838,664.8,667.7,117,686,7.24
839,665.8,668.7,118,687,8.16
840,666.8,669.7,119,688,9.7
841,667.8,670.7,120,689,8.25
842,668.8,671.7,26,690,9.53
843,669.8,672.7,27,691,6.86
844,670.8,673.7,28,692,5.55
845,671.8,674.7,29,693,5.22
846,672.8,675.7,30,694,9.69
847,673.8,676.7,31,695,8.2
848,674.8,677.7,32,696,7.67
849,675.8,678.7,33,697,9.79
850,676.8,679.7,34,698,6.3
851,677.8,680.7,35,699,9.55
852,678.8,681.7,36,700,8.14
853,679.8,682.7,37,701,6.9
854,680.8,683.7,38,702,8.08
855,681.8,684.7,39,703,5.32
856,682.8,685.7,40,704,5.91
857,683.8,686.7,41,705,9.73
858,684.8,687.7,42,706,9.39
859,685.8,688.7,43,707,6.33
860,686.8,689.7,44,708,8.85
861,687.8,690.7,45,709,5.99
862,688.8,691.7,46,710,6.14
863,689.8,692.7,47,711,6.39
864,690.8,693.7,48,712,6.29
865,691.8,694.7,49,713,7.26
866,692.8,695.7,50,714,6.96
867,693.8,696.7,51,715,6.87
868,694.8,697.7,52,716,6.72
869,695.8,698.7,53,717,5.86
870,696.8,699.7,54,718,9.75
871,697.8,700.7,55,719,9.81
872,698.8,701.7,56,720,6.33
873,699.8,702.7,57,721,8.32
874,700.8,703.7,58,722,7.72
875,701.8,704.7,59,723,7.16
876,702.8,705.7,60,724,9.65
877,703.8,706.7,61,725,6
878,704.8,707.7,62,726,5.12
879,705.8,708.7,63,727,6.21
880,706.8,709.7,64,728,9.83
881,707.8,710.7,65,729,7.32
882,708.8,711.7,66,730,7.79
883,709.8,712.7,67,731,9.87
884,710.8,713.7,68,732,5.23
885,711.8,714.7,69,733,7.91
886,712.8,715.7,70,734,8.42
887,713.8,716.7,71,735,8.58
888,714.8,717.7,72,736,5.51
889,715.8,718.7,73,737,6.12
890,716.8,719.7,74,738,6.24
891,717.8,720.7,75,739,9.69
892,718.8,721.7,76,740,8.26
893,719.8,722.7,77,741,8.82
894,720.8,723.7,78,742,6.01
895,721.8,724.7,79,743,5.28
896,722.8,725.7,80,744,6.09
897,723.8,726.7,81,745,9.85
898,724.8,727.7,82,746,8.43
899,725.8,728.7,83,747,6.24
900,726.8,729.7,84,748,9.01
901,727.8,730.7,85,749,8.54
902,728.8,731.7,86,750,8.34
903,729.8,732.7,87,751,8.55
904,730.8,733.7,88,752,6.32
905,731.8,734.7,89,753,8.51
906,732.8,735.7,90,754,5.48
907,733.8,736.7,91,755,7.27
908,734.8,737.7,92,756,6.25
909,735.8,738.7,93,757,5.24
910,736.8,739.7,94,758,7.29
911,737.8,740.7,95,759,7.43
912,738.8,741.7,96,760,6.92
913,739.8,742.7,97,761,9.7
914,740.8,743.7,98,762,6.41
915,741.8,744.7,99,763,6.9
916,742.8,745.7,100,764,8.88
917,743.8,746.7,101,765,7.73
918,744.8,747.7,102,766,9.38
919,745.8,748.7,103,767,7.57
920,746.8,749.7,104,768,8.86
921,747.8,750.7,105,769,9.12
922,748.8,751.7,106,770,5.32
923,749.8,752.7,107,771,8.3
924,750.8,753.7,108,772,7.57
925,751.8,754.7,109,773,9.67
926,752.8,755.7,110,774,9.09
927,753.8,756.7,111,775,8.7
928,754.8,757.7,112,776,5.25
929,755.8,758.7,113,777,8.46
930,756.8,759.7,114,778,9.73
931,757.8,760.7,115,779,6.38
932,758.8,761.7,116,780,7.61
933,759.8,762.7,117,781,6.84
934,760.8,763.7,118,782,8.14
935,761.8,764.7,119,783,9.18
936,762.8,765.7,120,784,7.24
937,763.8,766.7,26,785,9.56
938,764.8,767.7,27,786,6.4
939,765.8,768.7,28,787,9.1
940,766.8,769.7,29,788,7.75
941,767.8,770.7,30,789,7.84
942,768.8,771.7,31,790,5.39
943,769.8,772.7,32,791,8.61
944,770.8,773.7,33,792,7.41
945,771.8,774.7,34,793,5.7
946,772.8,775.7,35,794,6.86
947,773.8,776.7,36,795,9.02
948,774.8,777.7,37,796,8.3
949,775.8,778.7,38,797,7.82
950,776.8,779.7,39,798,7.5
951,777.8,780.7,40,799,6.25
952,778.8,781.7,41,800,6.27
953,779.8,782.7,42,801,5.47
954,780.8,783.7,43,802,5.64
955,781.8,784.7,44,803,7.61
956,782.8,785.7,45,804,5.46
957,783.8,786.7,46,805,9.42
958,784.8,787.7,47,806,8.99
959,785.8,788.7,48,807,9.52
960,786.8,789.7,49,808,5.83
961,787.8,790.7,50,809,5.75
962,788.8,791.7,51,810,5.25
963,789.8,792.7,52,811,8.96
964,790.8,793.7,53,812,6.62
965,791.8,794.7,54,813,6.85
966,792.8,795.7,55,814,5.48
967,793.8,796.7,56,815,8.01
968,794.8,797.7,57,816,8.05
969,795.8,798.7,58,817,5.23
970,796.8,799.7,59,818,5.97
971,797.8,800.7,60,819,7.17
972,798.8,801.7,61,820,7.72
973,799.8,802.7,62,821,6.68
974,800.8,803.7,63,822,7.27
975,801.8,804.7,64,823,7.49
976,802.8,805.7,65,824,6.88
977,803.8,806.7,66,825,5.76
978,804.8,807.7,67,826,6.22
979,805.8,808.7,68,827,5.37
980,806.8,809.7,69,828,6.33
981,807.8,810.7,70,829,8.88
982,808.8,811.7,71,830,7.38
983,809.8,812.7,72,831,7.38
984,810.8,813.7,73,832,7.13
985,811.8,814.7,74,833,9.02
986,812.8,815.7,75,834,6.91
987,813.8,816.7,76,835,9.29
988,814.8,817.7,77,836,6.95
989,815.8,818.7,78,837,7.95
990,816.8,819.7,79,838,8.81
991,9.8,820.7,80,839,5.56
992,10.8,821.7,81,840,8.41
993,11.8,822.7,82,841,8.86
994,12.8,823.7,83,842,8.89
995,13.8,824.7,84,843,6.43
996,14.8,825.7,85,844,5.67
997,15.8,826.7,86,845,8.65
998,16.8,827.7,87,846,7.89
999,17.8,828.7,88,847,7.75
1000,18.8,829.7,89,848,9.18
1001,19.8,830.7,90,849,9.1
1002,20.8,831.7,91,850,8.19
1003,21.8,832.7,92,851,8.88
1004,22.8,833.7,93,852,8.72
1005,23.8,834.7,94,853,8.93
1006,24.8,835.7,95,854,8.27
1007,25.8,836.7,96,855,7.22
1008,26.8,837.7,97,856,7.8
1009,27.8,838.7,98,857,5.82
1010,28.8,839.7,99,858,8.83
1011,29.8,840.7,100,859,6.24
1012,30.8,841.7,101,860,5.26
1013,31.8,842.7,102,861,9.65
1014,32.8,843.7,103,862,6.86
1015,33.8,844.7,104,863,5.59
1016,34.8,845.7,105,864,7.35
1017,35.8,846.7,106,865,7.06
1018,36.8,847.7,107,866,6.66
1019,37.8,848.7,108,867,9.05
1020,38.8,849.7,109,868,9.43
1021,39.8,850.7,110,869,5.86
1022,40.8,851.7,111,870,9.14
1023,41.8,852.7,112,871,5.25
1024,42.8,853.7,113,872,8.55
1025,43.8,854.7,114,873,8.25
1026,44.8,855.7,115,874,5.59
1027,45.8,856.7,116,875,5.88
1028,46.8,857.7,117,876,5.74
1029,47.8,858.7,118,877,6.3
1030,48.8,859.7,119,878,8.75
1031,49.8,860.7,120,879,9.07
1032,50.8,861.7,26,880,5.28
1033,51.8,862.7,27,881,8.11
1034,52.8,863.7,28,882,7.65
1035,53.8,864.7,29,883,6.6
1036,54.8,865.7,30,884,6.92
1037,55.8,866.7,31,885,5.46
1038,56.8,867.7,32,886,7.79
1039,57.8,868.7,33,887,6.74
1040,58.8,869.7,34,888,8.81
1041,59.8,870.7,35,889,6.53
1042,60.8,871.7,36,890,6.38
1043,61.8,872.7,37,891,6.43
1044,62.8,873.7,38,892,8.64
1045,63.8,874.7,39,893,8.43
1046,64.8,875.7,40,894,8.28
1047,65.8,876.7,41,895,5.38
1048,66.8,877.7,42,896,7.13
1049,67.8,878.7,43,897,8.35
1050,68.8,879.7,44,898,8.61
1051,69.8,880.7,45,899,9.29
1052,70.8,881.7,46,900,5.33
1053,71.8,882.7,47,901,6.72
1054,72.8,883.7,48,902,9.18
1055,73.8,884.7,49,903,5.57
1056,74.8,885.7,50,904,6.12
1057,75.8,886.7,51,905,8.18
1058,76.8,887.7,52,906,7.47
1059,77.8,888.7,53,907,9.01
1060,78.8,889.7,54,908,7.48
1061,79.8,890.7,55,909,9.54
1062,80.8,891.7,56,910,9.76
1063,81.8,892.7,57,911,8.22
1064,82.8,893.7,58,912,8.24
1065,83.8,894.7,59,913,7.13
1066,84.8,895.7,60,914,8.88
1067,85.8,896.7,61,915,6.43
1068,86.8,897.7,62,916,7.76
1069,87.8,898.7,63,917,6.04
1070,88.8,899.7,64,918,5.92
1071,89.8,900.7,65,919,8.62
1072,90.8,901.7,66,920,5.18
1073,91.8,902.7,67,921,5.58
1074,92.8,903.7,68,922,6.26
1075,93.8,904.7,69,923,9.55
1076,94.8,905.7,70,924,6
1077,95.8,906.7,71,925,5.48
1078,96.8,907.7,72,926,5.18
1079,97.8,908.7,73,927,9.36
1080,98.8,909.7,74,928,7.35
1081,99.8,910.7,75,929,8.53
1082,100.8,911.7,76,930,5.11
1083,101.8,912.7,77,931,7.57
1084,102.8,913.7,78,932,9.84
1085,103.8,914.7,79,933,8.94
1086,104.8,915.7,80,934,9.74
1087,105.8,916.7,81,935,8.09
1088,106.8,917.7,82,936,9.16
1089,107.8,918.7,83,937,8.82
1090,108.8,919.7,84,938,6.55
1091,109.8,920.7,85,939,8.46
1092,110.8,921.7,86,940,6.8
1093,111.8,922.7,87,941,5.35
1094,112.8,923.7,88,942,8.15
1095,113.8,924.7,89,943,7.86
1096,114.8,925.7,90,944,6.01
1097,115.8,926.7,91,945,7.59
1098,116.8,927.7,92,946,5.21
1099,117.8,928.7,93,947,8.25
1100,118.8,929.7,94,948,7.11
1101,119.8,930.7,95,949,5.26
1102,120.8,931.7,96,950,9.84
1103,121.8,932.7,97,951,9.42
1104,122.8,933.7,98,952,8.76
1105,123.8,934.7,99,953,5.34
1106,124.8,935.7,100,954,7.29
1107,125.8,936.7,101,955,9.68
1108,126.8,937.7,102,956,8.11
1109,127.8,938.7,103,957,7.74
1110,128.8,939.7,104,958,8.11
1111,129.8,940.7,105,959,8.11
1112,130.8,941.7,106,960,7.63
1113,131.8,942.7,107,961,7.73
1114,132.8,943.7,108,962,5.6
1115,133.8,944.7,109,963,7.81
1116,134.8,945.7,110,964,8.19
1117,135.8,946.7,111,965,6.8
1118,136.8,947.7,112,966,8.18
1119,137.8,948.7,113,967,5.29
1120,138.8,949.7,114,968,7.66
1121,139.8,950.7,115,969,5.31
1122,140.8,951.7,116,970,7.83
1123,141.8,952.7,117,971,5.92
1124,142.8,953.7,118,972,8.13
1125,143.8,954.7,119,973,6.02
1126,144.8,955.7,120,974,9.45
1127,145.8,956.7,26,975,5.66
1128,146.8,957.7,27,976,7.8
1129,147.8,958.7,28,977,7.32
1130,148.8,959.7,29,978,5.4
1131,149.8,960.7,30,979,6.21
1132,150.8,961.7,31,980,6.9
1133,151.8,962.7,32,981,8.68
1134,152.8,963.7,33,982,8.78
1135,153.8,964.7,34,983,9.45
1136,154.8,965.7,35,984,7.4
1137,155.8,966.7,36,985,8.82
1138,156.8,967.7,37,986,5.46
1139,157.8,968.7,38,987,8.53
1140,158.8,969.7,39,988,8.66
1141,159.8,970.7,40,989,6.78
1142,160.8,971.7,41,990,6.4
1143,161.8,972.7,42,991,8.06
1144,162.8,973.7,43,992,7.5
1145,163.8,974.7,44,993,7.39
1146,164.8,975.7,45,994,7.5
1147,165.8,976.7,46,995,8.91
1148,166.8,977.7,47,996,6.44
1149,167.8,978.7,48,997,9.79
1150,168.8,979.7,49,998,6.13
1151,169.8,980.7,50,999,7.29
1152,170.8,981.7,51,1000,8.75
1153,171.8,982.7,52,1001,7.37
1154,172.8,983.7,53,1002,6.05
1155,173.8,984.7,54,1003,9.21
1156,174.8,985.7,55,1004,8.81
1157,175.8,986.7,56,1005,7.43
1158,176.8,987.7,57,1006,6.03
1159,177.8,988.7,58,1007,7.93
1160,178.8,989.7,59,1008,8.71
1161,179.8,990.7,60,1009,8.11
1162,180.8,991.7,61,1010,6.05
1163,181.8,992.7,62,1011,6.14
1164,182.8,993.7,63,1012,8.08
1165,183.8,994.7,64,1013,8.62
1166,184.8,995.7,65,1014,9.28
1167,185.8,996.7,66,1015,9.88
1168,186.8,997.7,67,1016,6.24
1169,187.8,998.7,68,1017,9.72
1170,188.8,999.7,69,1018,5.77
1171,189.8,1000.7,70,1019,5.16
1172,190.8,1001.7,71,1020,6.88
1173,191.8,1002.7,72,1021,7.28
1174,192.8,1003.7,73,1022,5.54
1175,193.8,1004.7,74,1023,6.81
1176,194.8,1005.7,75,1024,5.79
1177,195.8,1006.7,76,1025,9.3
1178,196.8,1007.7,77,1026,7.13
1179,197.8,1008.7,78,1027,9.4
1180,198.8,1009.7,79,1028,7.54
1181,199.8,1010.7,80,1029,5.68
1182,200.8,1011.7,81,1030,8.42
1183,201.8,1012.7,82,1031,9.6
1184,202.8,1013.7,83,1032,7.12
1185,203.8,1014.7,84,1033,9.35
1186,204.8,1015.7,85,1034,5.31
1187,205.8,1016.7,86,1035,6.29
1188,206.8,1017.7,87,1036,5.41
1189,207.8,1018.7,88,1037,7.78
1190,208.8,1019.7,89,1038,7.96
1191,209.8,1020.7,90,1039,6.56
1192,210.8,1021.7,91,1040,6.54
1193,211.8,1022.7,92,1041,8.6
1194,212.8,1023.7,93,1042,8.85
1195,213.8,1024.7,94,1043,7.7
1196,214.8,1025.7,95,1044,6.3
1197,215.8,1026.7,96,1045,6.33
1198,216.8,1027.7,97,1046,8.7
1199,217.8,1028.7,98,1047,9.22
1200,218.8,1029.7,99,1048,8.51
1201,219.8,1030.7,100,1049,6.75
1202,220.8,1031.7,101,1050,9.1
1203,221.8,1032.7,102,1051,7.67
1204,222.8,1033.7,103,1052,9.03
1205,223.8,1034.7,104,1053,8.41
1206,224.8,1035.7,105,1054,8.06
1207,225.8,1036.7,106,1055,7.51
1208,226.8,1037.7,107,1056,9.66
1209,227.8,1038.7,108,1057,5.89
1210,228.8,1039.7,109,1058,5.78
1211,229.8,1040.7,110,1059,7.44
1212,230.8,1041.7,111,1060,7.98
1213,231.8,1042.7,112,1061,6.04
1214,232.8,1043.7,113,1062,7.09
1215,233.8,1044.7,114,1063,6.96
1216,234.8,1045.7,115,1064,6.12
1217,235.8,1046.7,116,1065,5.54
1218,236.8,1047.7,117,1066,6.83
1219,237.8,1048.7,118,1067,8.74
1220,238.8,1049.7,119,1068,8.93
1221,239.8,1050.7,120,1069,8.74
1222,240.8,1051.7,26,1070,6.03
1223,241.8,1052.7,27,1071,7.18
1224,242.8,1053.7,28,1072,9.35
1225,243.8,1054.7,29,1073,5.25
1226,244.8,1055.7,30,1074,6.85
1227,245.8,1056.7,31,1075,9.61
1228,246.8,1057.7,32,1076,6.88
1229,247.8,1058.7,33,1077,8.45
1230,248.8,1059.7,34,1078,7.2
1231,249.8,1060.7,35,1079,6.95
1232,250.8,1061.7,36,1080,9.88
1233,251.8,1062.7,37,1081,7.33
1234,252.8,1063.7,38,1082,7.82
1235,253.8,1064.7,39,1083,5.68
1236,254.8,1065.7,40,1084,9.8
1237,255.8,1066.7,41,1085,6.8
1238,256.8,1067.7,42,1086,5.54
1239,257.8,1068.7,43,1087,6.47
1240,258.8,1069.7,44,1088,8.6
1241,259.8,1070.7,45,1089,8.49
1242,260.8,1071.7,46,1090,5.98
1243,261.8,1072.7,47,1091,9.02
1244,262.8,1073.7,48,1092,8.82
1245,263.8,1074.7,49,1093,8.21
1246,264.8,1075.7,50,1094,6.32
1247,265.8,1076.7,51,1095,7.99
1248,266.8,1077.7,52,1096,5.81
1249,267.8,1078.7,53,1097,8.76
1250,268.8,1079.7,54,1098,7.34
1251,269.8,1080.7,55,1099,5.88
1252,270.8,1081.7,56,1100,7.8
1253,271.8,1082.7,57,1101,9.53
1254,272.8,1083.7,58,1102,6.82
1255,273.8,1084.7,59,1103,6.4
1256,274.8,1085.7,60,1104,9.73
1257,275.8,1086.7,61,1105,6.23
1258,276.8,1087.7,62,1106,6.42
1259,277.8,1088.7,63,1107,8.69
1260,278.8,1089.7,64,1108,5.33
1261,279.8,1090.7,65,1109,5.56
1262,280.8,1091.7,66,1110,8.15
1263,281.8,1092.7,67,1111,8.73
1264,282.8,1093.7,68,1112,9.57
1265,283.8,1094.7,69,1113,7.97
1266,284.8,1095.7,70,1114,9.8
1267,285.8,1096.7,71,1115,7.7
1268,286.8,1097.7,72,1116,7.07
1269,287.8,1098.7,73,1117,9.44
1270,288.8,1099.7,74,1118,5.49
1271,289.8,1100.7,75,1119,5.18
1272,290.8,1101.7,76,1120,7.56
1273,291.8,1102.7,77,1121,9.25
1274,292.8,1103.7,78,1122,9.31
1275,293.8,1104.7,79,1123,9.33
1276,294.8,1105.7,80,1124,6.24
1277,295.8,1106.7,81,1125,5.98
1278,296.8,1107.7,82,1126,8.07
1279,297.8,1108.7,83,1127,7.98
1280,298.8,1109.7,84,1128,5.82
1281,299.8,1110.7,85,1129,7.25
1282,300.8,1111.7,86,1130,9.58
1283,301.8,1112.7,87,1131,5.94
1284,302.8,1113.7,88,1132,7.96
1285,303.8,1114.7,89,1133,7.11
1286,304.8,1115.7,90,1134,5.86
1287,305.8,1116.7,91,1135,8.3
1288,306.8,1117.7,92,1136,6.87
1289,307.8,1118.7,93,1137,9.33
1290,308.8,1119.7,94,1138,7.31
1291,309.8,1120.7,95,1139,6.67
1292,310.8,1121.7,96,1140,6.69
1293,311.8,1122.7,97,1141,5.36
1294,312.8,1123.7,98,1142,7.09
1295,313.8,1124.7,99,1143,9.49
1296,314.8,1125.7,100,1144,5.44
1297,315.8,1126.7,101,1145,8.91
1298,316.8,1127.7,102,1146,8.13
1299,317.8,1128.7,103,1147,6.86
1300,318.8,1129.7,104,1148,9.66
1301,319.8,1130.7,105,1149,9.65
1302,320.8,1131.7,106,1150,8.37
1303,321.8,1132.7,107,1151,7.11
1304,322.8,1133.7,108,1152,5.65
1305,323.8,1134.7,109,1153,7.44
1306,324.8,1135.7,110,1154,5.66
1307,325.8,1136.7,111,1155,5.3
1308,326.8,1137.7,112,1156,5.79
1309,327.8,1138.7,113,1157,8.17
1310,328.8,1139.7,114,1158,8.35
1311,329.8,1140.7,115,1159,5.15
1312,330.8,1141.7,116,1160,9.82
1313,331.8,1142.7,117,1161,9.6
1314,332.8,1143.7,118,1162,9.87
1315,333.8,1144.7,119,1163,5.29
1316,334.8,1145.7,120,1164,5.95
1317,335.8,1146.7,26,1165,8.84
1318,336.8,1147.7,27,1166,5.92
1319,337.8,1148.7,28,1167,7.95
1320,338.8,1149.7,29,1168,8.47
1321,339.8,1150.7,30,1169,7.3
1322,340.8,1151.7,31,1170,8.11
1323,341.8,1152.7,32,1171,5.5
1324,342.8,1153.7,33,1172,7.33
1325,343.8,1154.7,34,1173,9.82
1326,344.8,1155.7,35,1174,7.35
1327,345.8,1156.7,36,1175,7.48
1328,346.8,1157.7,37,1176,5.87
1329,347.8,1158.7,38,1177,7.63
1330,348.8,1159.7,39,1178,6.18
1331,349.8,1160.7,40,1179,8.57
1332,350.8,1161.7,41,1180,6.69
1333,351.8,1162.7,42,1181,7.14
1334,352.8,1163.7,43,1182,8.91
1335,353.8,1164.7,44,1183,9.66
1336,354.8,1165.7,45,1184,9.5
1337,355.8,1166.7,46,1185,9.07
1338,356.8,1167.7,47,1186,5.25
1339,357.8,1168.7,48,1187,7.27
1340,358.8,1169.7,49,1188,7.35
1341,359.8,1170.7,50,1189,8.1
1342,360.8,1171.7,51,1190,5.69
1343,361.8,1172.7,52,1191,7.89
1344,362.8,1173.7,53,1192,9.06
1345,363.8,1174.7,54,1193,7.51
1346,364.8,1175.7,55,1194,6.9
1347,365.8,1176.7,56,1195,6.87
1348,366.8,1177.7,57,1196,6.59
1349,367.8,1178.7,58,1197,7.54
1350,368.8,1179.7,59,1198,5.35
1351,369.8,1180.7,60,1199,7.64
1352,370.8,1181.7,61,1200,8.97
1353,371.8,1182.7,62,1201,9.5
1354,372.8,1183.7,63,1202,7.05
1355,373.8,1184.7,64,1203,9.27
1356,374.8,1185.7,65,1204,5.66
1357,375.8,1186.7,66,1205,9.79
1358,376.8,1187.7,67,1206,5.78
1359,377.8,1188.7,68,1207,8.76
1360,378.8,1189.7,69,1208,9.13
1361,379.8,1190.7,70,1209,5.77
1362,380.8,1191.7,71,1210,8.52
1363,381.8,1192.7,72,1211,8.91
1364,382.8,1193.7,73,1212,5.99
1365,383.8,1194.7,74,1213,9.35
1366,384.8,1195.7,75,1214,9.64
1367,385.8,1196.7,76,1215,6.9
1368,386.8,1197.7,77,1216,8.16
1369,387.8,1198.7,78,1217,7.1
1370,388.8,1199.7,79,1218,5.57
1371,389.8,1200.7,80,1219,9.52
1372,390.8,1201.7,81,1220,9.21
1373,391.8,1202.7,82,1221,9.77
1374,392.8,1203.7,83,1222,9.61
1375,393.8,1204.7,84,1223,7.09
1376,394.8,1205.7,85,1224,8.81
1377,395.8,1206.7,86,1225,6.37
1378,396.8,1207.7,87,1226,6.3
1379,397.8,1208.7,88,1227,8.49
1380,398.8,1209.7,89,1228,5.58
1381,399.8,1210.7,90,1229,9.83
1382,400.8,1211.7,91,1230,6.58
1383,401.8,1212.7,92,1231,6.41
1384,402.8,1213.7,93,1232,7.94
1385,403.8,1214.7,94,1233,7.88
1386,404.8,1215.7,95,1234,5.84
1387,405.8,1216.7,96,1235,9.45
1388,406.8,1217.7,97,1236,9.4
1389,407.8,1218.7,98,1237,5.43
1390,408.8,1219.7,99,1238,9.12
1391,409.8,1220.7,100,1239,9.27
1392,410.8,1221.7,101,1240,6.77
1393,411.8,1222.7,102,1241,5.56
1394,412.8,1223.7,103,1242,5.36
1395,413.8,1224.7,104,1243,5.77
1396,414.8,1225.7,105,1244,7.46
1397,415.8,1226.7,106,1245,7.75
1398,416.8,1227.7,107,1246,5.83
1399,417.8,1228.7,108,1247,5.83
1400,418.8,1229.7,109,1248,7.56
1401,419.8,1230.7,110,1249,6.08
1402,420.8,1231.7,111,1250,8.06
1403,421.8,1232.7,112,1251,8.07
1404,422.8,1233.7,113,1252,5.27
1405,423.8,1234.7,114,1253,7.87
1406,424.8,1235.7,115,1254,6.28
1407,425.8,1236.7,116,1255,5.52
1408,426.8,1237.7,117,1256,6.12
1409,427.8,1238.7,118,1257,5.49
1410,428.8,1239.7,119,1258,6.7
1411,429.8,1240.7,120,1259,6.42
1412,430.8,1241.7,26,1260,9.25
1413,431.8,1242.7,27,1261,6.99
1414,432.8,1243.7,28,1262,5.59
1415,433.8,1244.7,29,1263,7.04
1416,434.8,1245.7,30,1264,7.91
1417,435.8,1246.7,31,1265,7.06
1418,436.8,1247.7,32,1266,6.75
1419,437.8,1248.7,33,1267,7.13
1420,438.8,1249.7,34,1268,9.64
1421,439.8,1250.7,35,1269,7.92
1422,440.8,1251.7,36,1270,9.55
1423,441.8,1252.7,37,1271,6.48
1424,442.8,1253.7,38,1272,5.33
1425,443.8,1254.7,39,1273,6.59
1426,444.8,1255.7,40,1274,7.73
1427,445.8,1256.7,41,1275,5.52
1428,446.8,1257.7,42,1276,5.97
1429,447.8,1258.7,43,1277,5.89
1430,448.8,1259.7,44,1278,5.5
1431,449.8,1260.7,45,1279,6.78
1432,450.8,1261.7,46,1280,6.75
1433,451.8,1262.7,47,1281,5.13
1434,452.8,1263.7,48,1282,8.62
1435,453.8,1264.7,49,1283,9.3
1436,454.8,1265.7,50,1284,8.61
1437,455.8,1266.7,51,1285,6.8
1438,456.8,1267.7,52,1286,6.67
1439,457.8,1268.7,53,1287,8.35
1440,458.8,1269.7,54,1288,8.22
1441,459.8,1270.7,55,1289,7.35
1442,460.8,1271.7,56,1290,7.09
1443,461.8,1272.7,57,1291,8.38
1444,462.8,1273.7,58,1292,5.45
1445,463.8,1274.7,59,1293,5.71
1446,464.8,1275.7,60,1294,9.31
1447,465.8,1276.7,61,1295,9.55
1448,466.8,1277.7,62,1296,9.74
1449,467.8,1278.7,63,1297,8.83
1450,468.8,1279.7,64,1298,7.65
1451,469.8,1280.7,65,1299,7.91
1452,470.8,1281.7,66,1300,5.75
1453,471.8,1282.7,67,1301,8.34
1454,472.8,1283.7,68,1302,8.21
1455,473.8,1284.7,69,1303,7.06
1456,474.8,1285.7,70,1304,6.4
1457,475.8,1286.7,71,1305,9.86
1458,476.8,1287.7,72,1306,8.64
1459,477.8,1288.7,73,1307,8.67
1460,478.8,1289.7,74,1308,9.8
1461,479.8,1290.7,75,1309,8.57
1462,480.8,1291.7,76,1310,6.26
1463,481.8,1292.7,77,1311,9.67
1464,482.8,1293.7,78,1312,5.71
1465,483.8,1294.7,79,1313,9.24
1466,484.8,1295.7,80,1314,8.35
1467,485.8,1296.7,81,1315,6.84
1468,486.8,1297.7,82,1316,7.49
1469,487.8,1298.7,83,1317,9.06
1470,488.8,1299.7,84,1318,8.62
1471,489.8,1300.7,85,1319,8.55
1472,490.8,1301.7,86,1320,5.83
1473,491.8,1302.7,87,1321,8.15
1474,492.8,1303.7,88,1322,5.68
1475,493.8,1304.7,89,1323,8.19
1476,494.8,1305.7,90,1324,8.7
1477,495.8,1306.7,91,1325,6.86
1478,496.8,1307.7,92,1326,5.26
